Year,Month,Labor Force,Employed,Unemployed,Unemployment Rate
2003,1,1312153,1201437,110716,8.4
2003,2,1314044,1208047,105997,8.1
2003,3,1313426,1207415,106011,8.1
2003,4,1312352,1209030,103322,7.9
2003,5,1315352,1209925,105427,8
2003,6,1347922,1223869,124053,9.2
2003,7,1346230,1228400,117830,8.8
2003,8,1328884,1215577,113307,8.5
2003,9,1322149,1211598,110551,8.4
2003,10,1319828,1220334,99494,7.5
2003,11,1326250,1223775,102475,7.7
2003,12,1315963,1221840,94123,7.2
2004,1,1302796,1200892,101904,7.8
2004,2,1303266,1208141,95125,7.3
2004,3,1303600,1206098,97502,7.5
2004,4,1302324,1205467,96857,7.4
2004,5,1303188,1205322,97866,7.5
2004,6,1323596,1219487,104109,7.9
2004,7,1333482,1227973,105509,7.9
2004,8,1314994,1216180,98814,7.5
2004,9,1304532,1209465,95067,7.3
2004,10,1306735,1212603,94132,7.2
2004,11,1314390,1218084,96306,7.3
2004,12,1306973,1216310,90663,6.9
2005,1,1279026,1184807,94219,7.4
2005,2,1284806,1187285,97521,7.6
2005,3,1279478,1187426,92052,7.2
2005,4,1288866,1191569,97297,7.5
2005,5,1289317,1193124,96193,7.5
2005,6,1305916,1203299,102617,7.9
2005,7,1310663,1212059,98604,7.5
2005,8,1292216,1204122,88094,6.8
2005,9,1286997,1198111,88886,6.9
2005,10,1285887,1205069,80818,6.3
2005,11,1293716,1211371,82345,6.4
2005,12,1286731,1208911,77820,6
2006,1,1273440,1194384,79056,6.2
2006,2,1279983,1204984,74999,5.9
2006,3,1282426,1210797,71629,5.6
2006,4,1285411,1213112,72299,5.6
2006,5,1285076,1218095,66981,5.2
2006,6,1308718,1236093,72625,5.5
2006,7,1317704,1244220,73484,5.6
2006,8,1305044,1236747,68297,5.2
2006,9,1298807,1233997,64810,5
2006,10,1303391,1245383,58008,4.5
2006,11,1310181,1249537,60644,4.6
2006,12,1309992,1249556,60436,4.6
2007,1,1308334,1235530,72804,5.6
2007,2,1307577,1238402,69175,5.3
2007,3,1308570,1244259,64311,4.9
2007,4,1310190,1238753,71437,5.5
2007,5,1314401,1239836,74565,5.7
2007,6,1343938,1258388,85550,6.4
2007,7,1350088,1265198,84890,6.3
2007,8,1330613,1250951,79662,6
2007,9,1326880,1250136,76744,5.8
2007,10,1326912,1251432,75480,5.7
2007,11,1338916,1262672,76244,5.7
2007,12,1332364,1255298,77066,5.8
2008,1,1333350,1249028,84322,6.3
2008,2,1329081,1249644,79437,6
2008,3,1329101,1250486,78615,5.9
2008,4,1327645,1250457,77188,5.8
2008,5,1336083,1243949,92134,6.9
2008,6,1356068,1252195,103873,7.7
2008,7,1356428,1253203,103225,7.6
2008,8,1338129,1237740,100389,7.5
2008,9,1324974,1230767,94207,7.1
2008,10,1303237,1208507,94730,7.3
2008,11,1307091,1210078,97013,7.4
2008,12,1301969,1199329,102640,7.9
2009,1,1295878,1179783,116095,9
2009,2,1302839,1177410,125429,9.6
2009,3,1303000,1173812,129188,9.9
2009,4,1308864,1173438,135426,10.3
2009,5,1315667,1169585,146082,11.1
2009,6,1337050,1180905,156145,11.7
2009,7,1339194,1185344,153850,11.5
2009,8,1315251,1168393,146858,11.2
2009,9,1308362,1156167,152195,11.6
2009,10,1309881,1154937,154944,11.8
2009,11,1315891,1161666,154225,11.7
2009,12,1302397,1149572,152825,11.7
2010,1,1257825,1094494,163331,13
2010,2,1258897,1101663,157234,12.5
2010,3,1261586,1107599,153987,12.2
2010,4,1268449,1116426,152023,12
2010,5,1264600,1114480,150120,11.9
2010,6,1273008,1121167,151841,11.9
2010,7,1275253,1124465,150788,11.8
2010,8,1262177,1118009,144168,11.4
2010,9,1257351,1116598,140753,11.2
2010,10,1252906,1116910,135996,10.9
2010,11,1259772,1121365,138407,11
2010,12,1246364,1116927,129437,10.4
2011,1,1240614,1104248,136366,11
2011,2,1241073,1110343,130730,10.5
2011,3,1244166,1114906,129260,10.4
2011,4,1247684,1114537,133147,10.7
2011,5,1255446,1111558,143888,11.5
2011,6,1275595,1119767,155828,12.2
2011,7,1278612,1121018,157594,12.3
2011,8,1270961,1116214,154747,12.2
2011,9,1267138,1116449,150689,11.9
2011,10,1265171,1117876,147295,11.6
2011,11,1265977,1124826,141151,11.1
2011,12,1256229,1122852,133377,10.6
2012,1,1249584,1116571,133013,10.6
2012,2,1254426,1131708,122718,9.8
2012,3,1254643,1130229,124414,9.9
2012,4,1261655,1133987,127668,10.1
2012,5,1264095,1139612,124483,9.8
2012,6,1284618,1148209,136409,10.6
2012,7,1286641,1151504,135137,10.5